n_qubits,dt,steps,total_time,target_depth,ansatz_depth,frac,diamond_bound,delta_ens,R,best_single_frob,active_circuits
4,0.1,1,0.1,4,1,0.25,0.9595334194341629,0.39983335416542887,0.39983335416558885,0.3998333541654778,5
4,0.1,1,0.1,4,2,0.5,3.8106448559421637,0.4316491196082271,1.7167838002281213,0.6609473881676061,4
4,0.1,1,0.1,4,3,0.75,3.662813916375448,0.4798969431188627,1.64408638159244,0.5317447934194928,4
4,0.1,1,0.1,4,4,1.0,5.208788891342831,0.6719599325676028,1.965927014466108,0.7954037216617288,4
4,0.1,2,0.2,8,2,0.25,4.455715442719675,0.6588902898740969,1.7714217067009992,0.7698466221722866,4
4,0.1,2,0.2,8,4,0.5,6.70078678422065,0.8796737487394792,2.2229348363687342,1.062850993822705,4
4,0.1,2,0.2,8,6,0.75,8.912926485489692,0.9470726863341238,2.6492982302529557,1.0947237084610504,3
4,0.1,2,0.2,8,8,1.0,10.088838771896695,0.8526688096123498,2.8954276286365705,0.938682739091612,3
4,0.1,4,0.4,16,4,0.25,8.458683191174204,1.3736979898942865,2.3898299544916646,1.7767121015928984,3
4,0.1,4,0.4,16,8,0.5,14.941977699793924,2.078895705123416,3.2839284842315144,2.639012511664565,3
4,0.1,4,0.4,16,12,0.75,20.789592644586985,1.8917867499994434,4.123835489515567,2.006226994119942,5
4,0.1,4,0.4,16,16,1.0,26.622176872792235,2.2729323254465115,4.698543627753095,2.646190604196344,4
4,0.1,8,0.8,32,8,0.25,38.270820020857336,3.224956248218669,5.641002351038333,3.804685601587942,5
4,0.1,8,0.8,32,16,0.5,40.30921337071776,3.936728165919929,5.695239857888156,4.788375322647915,5
4,0.1,8,0.8,32,24,0.75,41.58357452371151,4.24108595055123,5.753381842239315,5.260766598104865,5
4,0.1,8,0.8,32,32,1.0,41.58038015976367,4.046713787865009,5.786791216558072,4.937387436522895,5
4,0.2,1,0.2,4,1,0.25,2.2352041754301024,0.7986673331746542,0.7986673331749545,0.7986673331746631,5
4,0.2,1,0.2,4,2,0.5,4.5242843563447614,0.6475124186762289,1.79701405642591,0.7518124566228159,5
4,0.2,1,0.2,4,3,0.75,4.527985800321165,0.5784614237561972,1.8360454658882417,0.6906158881491186,5
4,0.2,1,0.2,4,4,1.0,6.745579456386229,0.8644404938549312,2.239798756289584,1.0640751815711758,4
4,0.2,2,0.4,8,2,0.25,6.756501781311045,1.2117078217293455,2.081606624185356,1.2574505520545645,2
4,0.2,2,0.4,8,4,0.5,8.505748410959018,1.3288367552331106,2.4182793263998263,1.7789616452682993,3
4,0.2,2,0.4,8,6,0.75,10.758625692780004,1.586340629983828,2.754259325628643,1.8876963001834215,4
4,0.2,2,0.4,8,8,1.0,15.089698250671482,2.053402150885736,3.3140449527578846,2.5809153717192173,3
4,0.2,4,0.8,16,4,0.25,36.769874032973526,2.4890895343727224,5.638412450701711,2.854528575710326,4
4,0.2,4,0.8,16,8,0.5,38.35097920742827,3.215236998654641,5.649823467164172,3.7341901267194126,5
4,0.2,4,0.8,16,12,0.75,39.74064837154648,3.6178576434460994,5.701309769224461,4.2956250016103805,5
4,0.2,4,0.8,16,16,1.0,39.15971474399208,3.4732177778908007,5.6756743377514605,4.267767505322702,5
4,0.2,8,1.6,32,8,0.25,40.340819341467736,4.102342371236348,5.668874191494731,5.214396572085349,5
