n_qubits,steps,target_depth,lr,init_cost,final_cost,best_cost,converged_iter
4,1,4,0.05,1.1099842555448256,1.0658141036401503e-14,4.6629367034256575e-15,35
4,1,4,0.02,1.1099842555448256,3.237873746897435e-09,3.237873746897435e-09,40
4,1,4,0.01,1.1099842555448256,4.251018302925402e-06,4.251018302925402e-06,81
4,1,4,0.005,1.1099842555448256,0.0002460646253679144,0.0002460646253679144,168
4,2,8,0.05,1.9408179602660807,5.568429337077241e-05,5.568429337077241e-05,85
4,2,8,0.02,1.9408179602660807,0.0004876384233403197,0.0004876384233403197,142
4,2,8,0.01,1.9408179602660807,0.004584452067657896,0.004584452067657896,228
4,2,8,0.005,1.9408179602660807,0.01754427987610585,0.01754427987610585,-1
4,4,16,0.05,1.7874456482887795,2.6477267667024407e-05,2.6477267667024407e-05,64
4,4,16,0.02,1.7874456482887795,0.00011241952359131169,0.00011241952359131169,107
4,4,16,0.01,1.7874456482887795,0.0005833910288084443,0.0005833910288084443,169
4,4,16,0.005,1.7874456482887795,0.006209699985936901,0.006209699985936901,279
6,1,4,0.05,1.4435181168253504,1.1546319456101628e-14,1.1546319456101628e-14,34
6,1,4,0.02,1.4435181168253504,2.487867689637824e-10,2.487867689637824e-10,41
6,1,4,0.01,1.4435181168253504,1.6213969278311424e-06,1.6213969278311424e-06,76
6,1,4,0.005,1.4435181168253504,0.0003042490483491367,0.0003042490483491367,157
6,2,8,0.05,2.0077432493300518,3.0265093938108834e-05,3.0265093938108834e-05,77
6,2,8,0.02,2.0077432493300518,0.00026484500281820367,0.00026484500281820367,134
6,2,8,0.01,2.0077432493300518,0.003110610906237987,0.003110610906237987,220
6,2,8,0.005,2.0077432493300518,0.017281814114444405,0.017281814114444405,-1
6,4,16,0.05,1.8981559796553664,0.00014118153432729486,0.00014118153432729486,76
6,4,16,0.02,1.8981559796553664,0.00038396304011878435,0.00038396304011878435,121
6,4,16,0.01,1.8981559796553664,0.0012176544705293502,0.0012176544705293502,186
6,4,16,0.005,1.8981559796553664,0.012202758934877878,0.012202758934877878,-1
