n_qubits,target_depth,lr,init_cost,final_cost,best_cost,converged_iter
4,4,0.05,1.1099842555448256,1.0658141036401503e-14,4.6629367034256575e-15,35
4,4,0.02,1.1099842555448256,3.237873746897435e-09,3.237873746897435e-09,40
4,4,0.01,1.1099842555448256,4.251018302925402e-06,4.251018302925402e-06,81
4,4,0.005,1.1099842555448256,0.0002460646253679144,0.0002460646253679144,168
4,4,0.002,1.1099842555448256,0.08312659415363499,0.08312659415363499,-1
4,4,0.001,1.1099842555448256,0.45366972651817195,0.45366972651817195,-1
6,4,0.05,1.4435181168253504,1.1546319456101628e-14,1.1546319456101628e-14,34
6,4,0.02,1.4435181168253504,2.487867689637824e-10,2.487867689637824e-10,41
6,4,0.01,1.4435181168253504,1.6213969278311424e-06,1.6213969278311424e-06,76
6,4,0.005,1.4435181168253504,0.0003042490483491367,0.0003042490483491367,157
6,4,0.002,1.4435181168253504,0.07587225286731591,0.07587225286731591,-1
6,4,0.001,1.4435181168253504,0.5949818676406486,0.5949818676406486,-1
8,4,0.05,1.6517449245830513,3.68594044175552e-14,3.68594044175552e-14,33
8,4,0.02,1.6517449245830513,5.364597654988756e-12,5.364597654988756e-12,58
8,4,0.01,1.6517449245830513,6.24424069339824e-07,6.24424069339824e-07,72
8,4,0.005,1.6517449245830513,0.0002705284802662078,0.0002705284802662078,147
8,4,0.002,1.6517449245830513,0.06058249061041332,0.06058249061041332,-1
8,4,0.001,1.6517449245830513,0.6980728086456167,0.6980728086456167,-1
