n,g,steps,dt,target_depth,ansatz_depth,compression_ratio,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
4,0.3,2,0.1,8,4,2,0.0011934727098524233,0.0011081075447485504,0.0023131331671138733,0.006599565648019433,0.00428643248090556,0,2.562889583176002
4,0.3,2,0.1,8,2,4,0.0017138463337610073,0.001585418032652512,0.006693955121626199,0.006693955123218403,1.5922037993609806e-12,1,0.354741333052516
4,0.3,2,0.1,8,1,8,0.19853750873845366,0.19642379367875695,0.7979417909327172,0.7979417909327217,4.440892098500626e-15,1,0.19882491719909012
4,0.3,4,0.1,16,8,2,0.094207775509622,0.08276200074998355,0.034797404763306346,2.3980434044240577,2.3632459996607516,0,2.526825040811673
4,0.3,4,0.1,16,4,4,0.010404882813748673,0.008185864485904132,0.035147933553276625,0.06319425363115407,0.02804632007787744,0,0.6392673749942333
4,0.3,4,0.1,16,2,8,0.018054629292859302,0.014990411603799322,0.06350045608400785,0.06350045608425962,2.5177082640936987e-13,1,0.3197409170679748
4,0.3,6,0.1,24,12,2,0.021575505976062614,0.01806140480403513,0.08217877837131743,0.15352392947640908,0.07134515110509165,0,3.2219072920270264
4,0.3,6,0.1,24,6,4,0.017994739850624615,0.014679021714722879,0.05933872253216834,0.202192711382725,0.14285398885055664,0,0.9652450419962406
4,0.3,6,0.1,24,3,8,0.006927650495338619,0.006493127498560933,0.026703543157817932,0.02711371974668253,0.00041017658886459765,0,0.7383864170406014
4,0.3,8,0.1,32,16,2,0.06774143896450331,0.05473358154657373,0.17841069989440617,0.3980252225201607,0.21961452262575454,0,6.3748444160446525
4,0.3,8,0.1,32,8,4,0.01822671804694711,0.015369363493642573,0.07323904713317754,0.2968111044613007,0.22357205732812319,0,1.6060276250354946
4,0.3,8,0.1,32,4,8,0.021594308330221683,0.019835913129343075,0.0808214263690969,0.4294920345864663,0.3486706082173694,0,0.6845000830944628
4,1.0,2,0.1,8,4,2,0.004056000885924852,0.003748266320641539,0.00889731649819899,0.02183840466419521,0.012941088165996222,0,0.7140905421692878
4,1.0,2,0.1,8,2,4,0.005600468141405777,0.005244300402179823,0.022170642433052033,0.022170642433532766,4.807335085565967e-13,1,0.32409870787523687
4,1.0,2,0.1,8,1,8,0.19729341546227158,0.19466204930028833,0.7906696212268388,0.790669621226841,2.220446049250313e-15,1,0.21583050000481308
4,1.0,4,0.1,16,8,2,0.027437084147473527,0.02433518517645597,0.10333503842574635,0.1902135246033816,0.08687848617763524,0,2.4326194170862436
4,1.0,4,0.1,16,4,4,0.019651385946802827,0.018134042199508017,0.07494681596779289,0.2000972836118872,0.12515046764409432,0,0.5972179169766605
4,1.0,4,0.1,16,2,8,0.05476060386620377,0.047853356570543196,0.20155126823980463,0.201551268239928,1.2337353361147052e-13,1,0.2934854170307517
4,1.0,6,0.1,24,12,2,0.04312652740796459,0.03529193643866686,0.06871582162850513,0.15089559165758862,0.08217977002908348,0,2.1518855839967728
4,1.0,6,0.1,24,6,4,0.006727451686990979,0.00544937783282644,0.031758640211449064,0.08343809605067837,0.0516794558392293,0,0.9677414589095861
4,1.0,6,0.1,24,3,8,0.06205494197283855,0.053016424658810055,0.22350305732277576,3.1871753905491853,2.9636723332264094,0,0.5707842910196632
4,1.0,8,0.1,32,16,2,0.08243847545394425,0.07187516489046351,0.3580903387247081,0.5016432970938627,0.1435529583691546,0,4.576940334169194
4,1.0,8,0.1,32,8,4,0.01479996660522615,0.013473427827769696,0.034382012757090845,0.05848003380615891,0.024098021049068066,0,1.574524583062157
4,1.0,8,0.1,32,4,8,0.014524606425845743,0.012992743500788698,0.052940953642294564,0.05414395142978142,0.0012029977874868578,0,0.7276753750629723
4,1.5,2,0.1,8,4,2,0.0062237300273255735,0.005746948628491293,0.015493750015464701,0.03245203534256082,0.016958285327096118,0,0.7520955419167876
4,1.5,2,0.1,8,2,4,0.008489587928283013,0.007800269455163877,0.032964111203619195,0.03296411120372697,1.0777490011548707e-13,1,0.3123791669495404
4,1.5,2,0.1,8,1,8,0.195614870280286,0.1923319839966641,0.780870145083365,0.7808701450833742,9.103828801926284e-15,1,0.19728212500922382
4,1.5,4,0.1,16,8,2,0.03005596410476799,0.02559226321194153,0.0931311394518122,0.24064105859641982,0.14750991914460762,0,2.426572374999523
4,1.5,4,0.1,16,4,4,0.012558790840555509,0.011722823515942178,0.04700994914842537,0.2795142872864427,0.2325043381380173,0,0.634722291957587
4,1.5,4,0.1,16,2,8,0.07590591103359005,0.06783845120093111,0.28274281822354314,0.2827428182235997,5.6565863104651726e-14,1,0.3149180000182241
4,1.5,6,0.1,24,12,2,0.016759633275873615,0.014603012971911461,0.0900696685341177,0.10666770541111166,0.01659803687699396,0,2.101867833174765
4,1.5,6,0.1,24,6,4,0.008388969465481903,0.007236726519706607,0.03143941308090544,0.05497696765095731,0.02353755457005187,0,0.9353137910366058
4,1.5,6,0.1,24,3,8,0.0037273990154445746,0.0034056435053512217,0.01407483873879931,0.5463894859357941,0.5323146471969947,0,0.45619537495076656
4,1.5,8,0.1,32,16,2,0.13950530134248817,0.11761680318671015,0.1256912044216871,0.5829058305155654,0.4572146260938783,0,4.289405999938026
4,1.5,8,0.1,32,8,4,0.1525400959361125,0.1274845060557305,0.04178385800469229,0.548073713512182,0.5062898555074897,0,1.5857705001253635
4,1.5,8,0.1,32,4,8,0.047690471053888656,0.04063732680328458,0.16538784833258474,2.418392739160681,2.2530048908280964,0,0.716514625120908
6,0.3,2,0.1,8,4,2,0.0022829530858153283,0.0019059240755349544,0.015598746409647108,0.018301512428022453,0.002702766018375345,0,1.8028897081967443
6,0.3,2,0.1,8,2,4,0.002622492138056998,0.0022164591493531493,0.01893303505019931,0.01893303505282636,2.627047884784517e-12,1,0.5282277918886393
6,0.3,2,0.1,8,1,8,0.304062117039511,0.26735487001894603,2.2456655328330197,2.245665532833026,6.217248937900877e-15,1,0.29281541611999273
6,0.3,4,0.1,16,8,2,0.01647319298895198,0.014402823855599461,0.13053593423020826,0.1566618359377097,0.026125901707501425,0,6.541172165889293
6,0.3,4,0.1,16,4,4,0.022335917965947645,0.018707033184999364,0.16138657890805025,0.17339372987991855,0.012007150971868302,0,1.8810498339589685
6,0.3,4,0.1,16,2,8,0.025050225763427934,0.021228847366360333,0.17954952720625036,0.1795495272064878,2.3744894939170536e-13,1,0.5766107498202473
