n,g,steps,dt,target_depth,ansatz_depth,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
4,0.3,4,0.1,16,3,0.0018785545579530728,0.0017890385314037326,0.007269557967261884,0.007466077786245305,0.00019651981898342104,0,1.8036217500921339
4,0.3,4,0.1,16,5,0.0018406069418636516,0.001756841632286337,0.007259492354158657,1.5394662554585514,1.5322067631043927,0,1.1781359580345452
4,0.3,4,0.1,16,6,0.01427225460585107,0.011309849362158682,0.04810558919277009,0.06096743250228841,0.012861843309518319,0,1.3298555831424892
4,0.3,4,0.1,16,10,0.010679144990305218,0.008784611036101257,0.04093037133824022,0.054618716956342746,0.013688345618102525,0,1.8418668338563293
4,0.3,4,0.1,16,12,0.010167000854788203,0.007982905395419031,0.039251443028753955,0.04610347809327087,0.006852035064516912,0,2.279659459134564
4,0.3,6,0.1,24,2,0.059207609573344006,0.048416585049674936,0.2032411279545962,0.20324112795467486,7.865930129469234e-14,1,0.7234332498628646
4,0.3,6,0.1,24,4,0.030107602880468178,0.02535344450682327,0.10378178109477282,0.20257217225354465,0.09879039115877183,0,1.2879866249859333
4,0.3,6,0.1,24,5,0.006767695750036695,0.006576703195394597,0.027147568376481704,0.7686715117598469,0.7415239433833652,0,1.2366709581110626
4,0.3,6,0.1,24,8,0.018610697861644265,0.015712364666636416,0.06707046271342985,0.19619574388774932,0.12912528117431948,0,1.4482284169644117
4,0.3,6,0.1,24,10,0.031305811569997136,0.027593486038657473,0.11280128091772108,0.13655670478646836,0.02375542386874728,0,1.8397187909577042
4,0.3,8,0.1,32,2,0.11847923075399418,0.10380727519712193,0.4298982020498807,0.42989820204994683,6.611378111642807e-14,1,0.4457331250887364
4,0.3,8,0.1,32,3,0.01800939309656448,0.016792094028947137,0.06973069435709953,3.0620556522750397,2.99232495791794,0,0.8610062499064952
4,0.3,8,0.1,32,5,0.019078200983868497,0.016693238472744346,0.06962216140573972,0.07138188978611806,0.001759728380378342,0,0.903201375156641
4,0.3,8,0.1,32,6,0.010911714456507831,0.009781059802686188,0.04603649223550352,0.10253847263170753,0.05650198039620401,0,1.1588142500258982
4,0.3,8,0.1,32,10,0.05164114015236397,0.042046694010704974,0.1332146121285135,0.30009785920583615,0.16688324707732266,0,1.959817332914099
