config_label,n,g,steps,ansatz_d,drop_rate,init_seed,seed,target_depth,final_cost,elapsed_s,last10_std
easy,6,0.3,2,2,0.0,1,1000,8,5.600934627647547e-06,1.247409916948527,6.738605631492865e-16
easy,6,0.3,2,2,0.05,1,1050,8,5.600934631866394e-06,0.2559280418790877,9.832841130423755e-16
easy,6,0.3,2,2,0.1,1,1100,8,5.600934628091636e-06,0.20170787489041686,9.701596093127845e-16
easy,6,0.3,2,2,0.15,1,1150,8,5.600934627425502e-06,0.2032314999960363,1.0741085019148343e-15
easy,6,0.3,2,2,0.2,1,1200,8,5.6009346300900376e-06,0.20053266687318683,6.601860723574255e-16
easy,6,0.3,2,2,0.25,1,1250,8,5.600934628091636e-06,0.18802091595716774,1.1451992206292896e-15
easy,6,0.3,2,2,0.3,1,1300,8,5.600934629645948e-06,0.21866366686299443,8.892879497014334e-16
easy,6,0.3,2,2,0.4,1,1400,8,5.600934630756171e-06,0.2860045419074595,1.0761721128507803e-15
easy,6,0.3,2,2,0.5,1,1500,8,5.600934631200261e-06,0.20734175015240908,9.444076773118807e-16
easy,6,0.3,2,2,0.7,1,1700,8,5.6009346289798145e-06,0.16754204197786748,8.070336330495319e-16
easy,6,0.3,2,2,0.0,2,2000,8,5.600934629423904e-06,0.1955692081246525,7.025176893352396e-16
easy,6,0.3,2,2,0.05,2,2050,8,5.6009346278695915e-06,0.1942198749165982,1.060248456702457e-15
easy,6,0.3,2,2,0.1,2,2100,8,5.600934630312082e-06,0.1894694168586284,7.417752229561759e-16
easy,6,0.3,2,2,0.15,2,2150,8,5.6009346289798145e-06,0.17647233395837247,7.971988878371522e-16
easy,6,0.3,2,2,0.2,2,2200,8,5.600934630756171e-06,0.21196425007656217,6.605593752270663e-16
easy,6,0.3,2,2,0.25,2,2250,8,5.600934630978216e-06,0.20119175012223423,6.883382752676179e-16
easy,6,0.3,2,2,0.3,2,2300,8,5.600934628535725e-06,0.1713380829896778,7.49708873476879e-16
easy,6,0.3,2,2,0.4,2,2400,8,5.60093462875777e-06,0.15867112507112324,6.879800455918813e-16
easy,6,0.3,2,2,0.5,2,2500,8,5.600934629201859e-06,0.14564649993553758,1.0357851278622438e-15
easy,6,0.3,2,2,0.7,2,2700,8,5.600934628313681e-06,0.1364731250796467,1.2578390807388703e-15
easy,6,0.3,2,2,0.0,3,3000,8,5.600934629867993e-06,0.17572541697882116,8.870675019174065e-16
easy,6,0.3,2,2,0.05,3,3050,8,5.600934628091636e-06,0.16930808406323195,1.1546319456102125e-15
easy,6,0.3,2,2,0.1,3,3100,8,5.600934630312082e-06,0.16334729199297726,7.039199216473051e-16
easy,6,0.3,2,2,0.15,3,3150,8,5.6009346300900376e-06,0.1671233328524977,1.1385065106934567e-15
easy,6,0.3,2,2,0.2,3,3200,8,5.6009346289798145e-06,0.17582137510180473,7.562566735475684e-16
easy,6,0.3,2,2,0.25,3,3250,8,5.600934629423904e-06,0.1674849579576403,7.909900792383744e-16
easy,6,0.3,2,2,0.3,3,3300,8,5.600934629423904e-06,0.17281850008293986,8.334810343735293e-16
easy,6,0.3,2,2,0.4,3,3400,8,5.600934629201859e-06,0.16666291584260762,6.105217258353357e-16
easy,6,0.3,2,2,0.5,3,3500,8,5.6009346300900376e-06,0.17157674999907613,1.075026151379071e-15
easy,6,0.3,2,2,0.7,3,3700,8,5.6009346289798145e-06,0.14395637507550418,7.956512278881851e-16
easy,6,0.3,2,2,0.0,4,4000,8,5.600934629201859e-06,0.1781154579948634,1.1210504135097312e-15
easy,6,0.3,2,2,0.05,4,4050,8,5.600934629201859e-06,0.17559354193508625,1.2172014572856102e-15
easy,6,0.3,2,2,0.1,4,4100,8,5.600934629645948e-06,0.1938477079384029,5.794470836795383e-16
easy,6,0.3,2,2,0.15,4,4150,8,5.600934629645948e-06,0.1687664999626577,6.299965420058443e-16
easy,6,0.3,2,2,0.2,4,4200,8,5.600934631200261e-06,0.27672641701065004,1.4460202062562864e-15
easy,6,0.3,2,2,0.25,4,4250,8,5.600934629201859e-06,0.6052074581384659,5.794470836795383e-16
easy,6,0.3,2,2,0.3,4,4300,8,5.600934629423904e-06,0.18544958299025893,6.454588798442909e-16
easy,6,0.3,2,2,0.4,4,4400,8,5.600934628091636e-06,0.1772887920960784,8.355488621981507e-16
easy,6,0.3,2,2,0.5,4,4500,8,5.6009346278695915e-06,0.1726919999346137,9.003080473452986e-16
easy,6,0.3,2,2,0.7,4,4700,8,5.600934630978216e-06,0.15539233316667378,7.591847593815464e-16
easy,6,0.3,2,2,0.0,5,5000,8,5.600934630756171e-06,0.21753091691061854,9.328516420481494e-16
easy,6,0.3,2,2,0.05,5,5050,8,5.600934629423904e-06,0.21748083317652345,8.625511238394403e-16
easy,6,0.3,2,2,0.1,5,5100,8,5.600934630312082e-06,0.1831376668997109,5.528866075183428e-16
easy,6,0.3,2,2,0.15,5,5150,8,5.6009346300900376e-06,0.18430058285593987,9.617377040397578e-16
easy,6,0.3,2,2,0.2,5,5200,8,5.600934629423904e-06,0.175117583014071,1.2726468661934032e-15
easy,6,0.3,2,2,0.25,5,5250,8,5.6009346289798145e-06,0.17759762494824827,5.807219962960739e-16
easy,6,0.3,2,2,0.3,5,5300,8,5.600934630756171e-06,0.17534750001505017,7.884928667574226e-16
easy,6,0.3,2,2,0.4,5,5400,8,5.600934629423904e-06,0.17101658415049314,8.671119018262734e-16
easy,6,0.3,2,2,0.5,5,5500,8,5.6009346278695915e-06,0.3155177920125425,9.678699938266253e-16
