label,n,g,steps,ansatz_d,baseline_ens_max_td,best_single_max_td,perturb_scale,expanded_ens_max_td,expanded_over_best,reduction_factor
n6_g05_s2_d6,6,0.5,2,6,0.0032947238310969424,0.0033160758953206014,0.001,0.0031781211413091414,0.9583981916076977,1.0434076449189829
n6_g05_s2_d6,6,0.5,2,6,0.0032947238310969424,0.0033160758953206014,0.005,0.0032567866205932194,0.9821206520601514,1.018204838583064
n6_g05_s2_d6,6,0.5,2,6,0.0032947238310969424,0.0033160758953206014,0.01,0.003084923616423506,0.9302934292839073,1.0749296603865612
n6_g05_s2_d6,6,0.5,2,6,0.0032947238310969424,0.0033160758953206014,0.02,0.003080833033199913,0.9290598678840115,1.0763569007426388
n6_g05_s2_d6,6,0.5,2,6,0.0032947238310969424,0.0033160758953206014,0.05,0.003084286923854264,0.9301014274753419,1.0751515592384264
n6_g05_s2_d6,6,0.5,2,6,0.0032947238310969424,0.0033160758953206014,0.1,0.0030771202369248365,0.9279402323894452,1.0776556130398625
n6_g05_s2_d6,6,0.5,2,6,0.0032947238310969424,0.0033160758953206014,0.2,0.0030771279762037353,0.9279425662560825,1.0776529026302173
n8_g05_s2_d6,8,0.5,2,6,0.003751660844770979,0.0038952787846743935,0.001,0.0038807120922514215,0.9962604236491921,1.0037536132742382
n8_g05_s2_d6,8,0.5,2,6,0.003751660844770979,0.0038952787846743935,0.005,0.0038075222989460786,0.9774710641832404,1.023048186941047
n8_g05_s2_d6,8,0.5,2,6,0.003751660844770979,0.0038952787846743935,0.01,0.0038009486284456663,0.9757834646906762,1.0248175298983986
n8_g05_s2_d6,8,0.5,2,6,0.003751660844770979,0.0038952787846743935,0.02,0.0038702080182654733,0.9935638069070798,1.0064778860181671
n8_g05_s2_d6,8,0.5,2,6,0.003751660844770979,0.0038952787846743935,0.05,0.0038750249766351923,0.9948004214438032,1.005226755481919
n8_g05_s2_d6,8,0.5,2,6,0.003751660844770979,0.0038952787846743935,0.1,0.0038401255861331865,0.9858410138041462,1.0143623424036878
n8_g05_s2_d6,8,0.5,2,6,0.003751660844770979,0.0038952787846743935,0.2,0.00381952965345975,0.9805536046578563,1.0198320573702129
n8_g03_s4_d8,8,0.3,4,8,0.01874789141443212,0.020523486608655425,0.001,0.019340777506621387,0.9423728957663923,1.0611510629099132
n8_g03_s4_d8,8,0.3,4,8,0.01874789141443212,0.020523486608655425,0.005,0.01956614153804826,0.9533536825948754,1.0489286591710232
n8_g03_s4_d8,8,0.3,4,8,0.01874789141443212,0.020523486608655425,0.01,0.01962148833027935,0.9560504364791665,1.0459699215061142
n8_g03_s4_d8,8,0.3,4,8,0.01874789141443212,0.020523486608655425,0.02,0.019680748878595826,0.9589378868157719,1.0428204096936644
n8_g03_s4_d8,8,0.3,4,8,0.01874789141443212,0.020523486608655425,0.05,0.019642722345202528,0.957085056732931,1.0448392156634039
n8_g03_s4_d8,8,0.3,4,8,0.01874789141443212,0.020523486608655425,0.1,0.019461452072606508,0.9482527235113637,1.0545711867792134
n8_g03_s4_d8,8,0.3,4,8,0.01874789141443212,0.020523486608655425,0.2,0.01935123409669987,0.9428823896100977,1.0605776616673492
n6_g10_s4_d8,6,1.0,4,8,0.026354713032870278,0.029445605837454324,0.001,0.026846751335044126,0.9117404981661306,1.0968033141133844
n6_g10_s4_d8,6,1.0,4,8,0.026354713032870278,0.029445605837454324,0.005,0.02741093328143656,0.9309006387150067,1.0742285034634593
n6_g10_s4_d8,6,1.0,4,8,0.026354713032870278,0.029445605837454324,0.01,0.027393271805136007,0.9303008386498273,1.0749210991267397
n6_g10_s4_d8,6,1.0,4,8,0.026354713032870278,0.029445605837454324,0.02,0.027436655055733505,0.9317741739527917,1.0732214177581025
n6_g10_s4_d8,6,1.0,4,8,0.026354713032870278,0.029445605837454324,0.05,0.02741688402706822,0.9311027315387886,1.0739953456557347
n6_g10_s4_d8,6,1.0,4,8,0.026354713032870278,0.029445605837454324,0.1,0.027145439322911948,0.921884218404615,1.084734915769108
n6_g10_s4_d8,6,1.0,4,8,0.026354713032870278,0.029445605837454324,0.2,0.026862838343328678,0.9122868278417146,1.096146485383108
